Loading nx graphs
Converting graphs
Data loaded
Epoch: 133, loss: 0.9546, AUC: 0.8537, AP: 0.8435
Epoch: 134, loss: 0.9555, AUC: 0.8550, AP: 0.8455
Epoch: 135, loss: 0.9545, AUC: 0.8554, AP: 0.8471
Epoch: 136, loss: 0.9541, AUC: 0.8560, AP: 0.8455
Epoch: 137, loss: 0.9546, AUC: 0.8533, AP: 0.8423
Epoch: 138, loss: 0.9542, AUC: 0.8497, AP: 0.8412
Epoch: 139, loss: 0.9551, AUC: 0.8532, AP: 0.8430
Epoch: 140, loss: 0.9541, AUC: 0.8507, AP: 0.8403
Epoch: 141, loss: 0.9547, AUC: 0.8506, AP: 0.8404
Epoch: 142, loss: 0.9545, AUC: 0.8551, AP: 0.8448
Epoch: 143, loss: 0.9544, AUC: 0.8544, AP: 0.8447
Epoch: 144, loss: 0.9548, AUC: 0.8513, AP: 0.8393
Epoch: 145, loss: 0.9538, AUC: 0.8537, AP: 0.8423
Epoch: 146, loss: 0.9546, AUC: 0.8549, AP: 0.8447
Epoch: 147, loss: 0.9543, AUC: 0.8573, AP: 0.8483
Epoch: 148, loss: 0.9544, AUC: 0.8500, AP: 0.8402
Epoch: 149, loss: 0.9547, AUC: 0.8524, AP: 0.8397
Epoch: 150, loss: 0.9543, AUC: 0.8565, AP: 0.8469
Epoch: 151, loss: 0.9546, AUC: 0.8532, AP: 0.8413
Epoch: 152, loss: 0.9546, AUC: 0.8502, AP: 0.8394
Epoch: 153, loss: 0.9544, AUC: 0.8555, AP: 0.8445
Epoch: 154, loss: 0.9541, AUC: 0.8538, AP: 0.8442
Epoch: 155, loss: 0.9546, AUC: 0.8556, AP: 0.8470
Epoch: 156, loss: 0.9544, AUC: 0.8509, AP: 0.8412
Epoch: 157, loss: 0.9542, AUC: 0.8535, AP: 0.8450
Epoch: 158, loss: 0.9543, AUC: 0.8515, AP: 0.8407
Epoch: 159, loss: 0.9549, AUC: 0.8520, AP: 0.8414
Epoch: 160, loss: 0.9546, AUC: 0.8548, AP: 0.8456
Epoch: 161, loss: 0.9547, AUC: 0.8549, AP: 0.8446
Epoch: 162, loss: 0.9548, AUC: 0.8492, AP: 0.8390
Epoch: 163, loss: 0.9543, AUC: 0.8548, AP: 0.8452
Epoch: 164, loss: 0.9541, AUC: 0.8514, AP: 0.8419
Epoch: 165, loss: 0.9544, AUC: 0.8578, AP: 0.8483
Epoch: 166, loss: 0.9540, AUC: 0.8515, AP: 0.8414
Epoch: 167, loss: 0.9542, AUC: 0.8521, AP: 0.8406
Epoch: 168, loss: 0.9543, AUC: 0.8541, AP: 0.8437
Epoch: 169, loss: 0.9551, AUC: 0.8522, AP: 0.8403
Epoch: 170, loss: 0.9544, AUC: 0.8562, AP: 0.8459
Epoch: 171, loss: 0.9548, AUC: 0.8571, AP: 0.8484
Epoch: 172, loss: 0.9542, AUC: 0.8597, AP: 0.8495
Epoch: 173, loss: 0.9543, AUC: 0.8477, AP: 0.8372
Epoch: 174, loss: 0.9547, AUC: 0.8521, AP: 0.8432
Epoch: 175, loss: 0.9545, AUC: 0.8542, AP: 0.8433
Epoch: 176, loss: 0.9545, AUC: 0.8538, AP: 0.8440
Epoch: 177, loss: 0.9542, AUC: 0.8534, AP: 0.8432
Epoch: 178, loss: 0.9541, AUC: 0.8515, AP: 0.8406
Epoch: 179, loss: 0.9544, AUC: 0.8537, AP: 0.8450
Epoch: 180, loss: 0.9540, AUC: 0.8564, AP: 0.8476
Epoch: 181, loss: 0.9540, AUC: 0.8535, AP: 0.8462
Epoch: 182, loss: 0.9543, AUC: 0.8534, AP: 0.8439
Epoch: 183, loss: 0.9544, AUC: 0.8561, AP: 0.8451
Epoch: 184, loss: 0.9542, AUC: 0.8565, AP: 0.8462
Epoch: 185, loss: 0.9550, AUC: 0.8490, AP: 0.8382
Epoch: 186, loss: 0.9542, AUC: 0.8513, AP: 0.8405
Epoch: 187, loss: 0.9545, AUC: 0.8504, AP: 0.8413
Epoch: 188, loss: 0.9541, AUC: 0.8469, AP: 0.8361
Epoch: 189, loss: 0.9543, AUC: 0.8529, AP: 0.8415
Epoch: 190, loss: 0.9545, AUC: 0.8564, AP: 0.8471
Epoch: 191, loss: 0.9546, AUC: 0.8498, AP: 0.8404
Epoch: 192, loss: 0.9543, AUC: 0.8521, AP: 0.8413
Epoch: 193, loss: 0.9539, AUC: 0.8526, AP: 0.8429
Epoch: 194, loss: 0.9546, AUC: 0.8504, AP: 0.8410
Epoch: 195, loss: 0.9540, AUC: 0.8491, AP: 0.8380
